year	Legislative Branch	Judicial Branch	Agriculture	Commerce	DOD - Military	Education	Energy	HHS	DHS	HUD	Interior	Justice	Labor	State	Transportation	Treasury	VA	EPA	International Assistance	NASA	Other Agencies
1976	0.5	0.2	2.3	0.9	48.4	4.2	2.7	4	1.1	10.9	1.4	1	4	0.6	2.3	2.2	2.5	0.4	3	1.8	5.5
1977	0.4	0.2	2.1	3.2	43.8	3.9	3.1	3.7	1	13.4	1.6	0.9	6.1	0.6	1.7	1.5	2.3	1.1	2.8	1.6	4.9
1978	0.4	0.2	2.2	0.7	44.1	3.9	4.3	4	1.2	14.4	1.9	0.8	2.3	0.7	1.9	1.7	2.4	2.1	3.2	1.6	6.1
1979	0.4	0.2	2.2	0.8	44.9	4.2	3.9	4	1.1	10.9	1.8	0.8	4.7	0.7	2.6	1.1	2.4	2	3.8	1.7	5.5
1980	0.4	0.2	2.2	0.8	45.4	3.8	2.2	4.4	1.3	10.7	1.6	0.7	3.6	0.7	2.7	5.2	2.3	1.5	3.1	1.7	5.5
1981	0.4	0.2	2.2	0.6	51.8	3.3	3.9	4.2	1.1	9.3	1.4	0.6	3.2	0.7	3.3	0.6	2.2	0.9	4	1.7	4.4
1982	0.4	0.2	2	0.5	59.7	3	3.7	3.9	1.2	5.3	1.3	0.6	1.8	0.7	3.1	0.9	2.4	1	3	1.7	3.4
1983	0.4	0.2	2.1	0.5	61.5	2.9	3.3	3.8	1.1	4.1	1.3	0.7	2.1	0.7	2.3	0.9	2.4	1	3.1	1.8	3.6
1984	0.4	0.2	1.9	0.5	61	2.8	3	3.7	1.1	3.9	1.2	0.7	2.6	0.7	1.9	0.9	2.3	1	4.9	1.8	3.2
1985	0.3	0.2	2	0.5	62.9	3.1	3.1	3.6	1	3.7	1.2	0.7	1.7	0.8	1.9	1	2.4	1	4	1.7	3.2
1986	0.4	0.2	1.9	0.5	64.4	3.1	2.7	3.8	1.1	3.4	1.1	0.8	1.6	0.9	1.7	1	2.4	0.8	3.4	1.8	3
1987	0.4	0.3	2	0.5	62.8	3.5	2.6	4.1	1.2	2.9	1.2	1	1.7	0.9	1.7	1	2.5	1.2	3.1	2.5	3
1988	0.4	0.3	2	0.5	62.7	3.6	2.9	4.3	1.2	2.8	1.2	1	1.7	0.9	1.7	1.3	2.6	1.1	2.8	2	2.9
1989	0.4	0.3	2.1	0.6	61.9	3.6	2.8	4.4	1.5	2.6	1.2	1.2	1.7	0.9	1.7	1.2	2.6	1.1	2.6	2.3	3.1
1990	0.4	0.3	2.2	0.7	59.1	3.8	3.2	4.6	1.5	2.9	1.3	1.5	1.7	0.9	2	1.2	2.6	1.1	2.7	2.5	3.4
1991	0.4	0.3	2.1	0.5	58.5	3.9	3.3	4.9	1.2	4.3	1.3	1.3	1.7	0.9	1.9	1.2	2.6	1.1	2.6	2.6	3.3
1992	0.4	0.4	2.9	0.6	53.9	4.3	3.6	5.4	2.1	4.3	1.3	1.6	1.9	1.1	2.1	1.4	2.9	1.3	2.4	2.7	3.5
1993	0.4	0.5	3	0.6	50.2	4.6	3.7	5.8	1.7	4.6	1.3	1.7	1.9	1.2	2	1.5	3.1	1.3	4.7	2.7	3.5
1994	0.4	0.5	3.3	0.8	48.9	4.8	3.7	6.4	2.4	4.7	1.5	1.7	2.1	1.3	2.2	1.6	3.3	1.3	2.2	2.8	4.1
1995	0.5	0.5	3.1	0.8	50.3	4.9	3.4	6.6	2.2	3.9	1.4	2.3	1.9	1.1	1.6	1.6	3.5	1.2	2.4	2.8	3.9
1996	0.4	0.6	3	0.7	50.7	4.3	3.3	6.6	2.3	4	1.4	2.7	1.9	1.1	1.9	1.6	3.5	1.3	2.1	2.8	3.7
1997	0.4	0.6	3	0.7	49.7	5.2	3.2	6.7	2.6	2.9	1.4	2.9	2	1.1	2	1.5	3.7	1.3	2.1	2.7	4
1998	0.4	0.6	3	0.8	49.1	5.6	3.2	7	2.1	3.7	1.5	3	2	1.1	1.8	1.6	3.6	1.4	2.1	2.6	3.7
1999	0.5	0.6	2.8	0.9	47.2	4.9	3.1	7.1	2.3	3.8	1.4	2.8	1.9	1.4	1.8	1.6	3.3	1.3	5.3	2.3	3.6
2000	0.4	0.6	2.9	1.5	49.2	5	3	7.8	2.5	3.6	1.4	2.8	1.5	1.3	1.8	1.6	3.6	1.3	2.3	2.3	3.5
2001	0.4	0.6	2.9	0.8	47.6	6	3	8.2	2.4	4.3	1.5	2.8	1.8	1.2	2.2	1.6	3.4	1.2	1.9	2.1	4.1
2002	0.5	0.6	2.7	0.7	46.9	6.7	2.9	8.3	4.1	4.3	1.4	2.7	1.7	1.3	2.1	1.4	3.3	1.1	1.9	2	3.3
2003	0.4	0.5	2.6	0.7	51.5	6.3	2.6	7.7	3.6	3.5	1.2	2.3	1.4	1.1	1.6	1.3	3.1	1	2.2	1.8	3.4
2004	0.4	0.5	2.4	0.6	51.6	6.1	2.6	7.6	3.4	3.5	1.2	2.2	1.3	1.3	1.5	1.2	3.2	0.9	1.8	1.7	5
2005	0.4	0.5	2.3	0.6	48.5	5.8	2.5	7	10	3.4	1.1	2.1	1.2	1.4	1.6	1.1	3.3	0.8	1.8	1.6	2.8
2006	0.4	0.5	2.3	0.7	53.6	5.9	2.4	7.5	1.5	5.1	1.1	2.1	1.2	1.5	1.8	1.1	3.4	0.8	1.9	1.7	3.6
